stad, kommun
Gunnebo,Västerviks
Gunsta,Uppsala
Gusselby,Lindesbergs
Gustavsberg,Värmdö
Gusum,Valdemarsviks
Gyttorp,Nora
Gånghester,Borås
Gårdby,Mörbylånga
Gårdskär,Älvkarleby
Gårdstånga,Eslövs
Gåvsta,Uppsala
Gäddede,Strömsunds
Gällivare,Gällivare
Gällstad,Ulricehamns
Gällö,Bräcke
Gängletorp,Karlskrona
GärdsKöpinge,Kristianstads
Gärsnäs,Simrishamns
Gävle,Gävle
Göta,LillaEdets
Göteborg,Göteborgs
Götene,Götene
Götlunda,Arboga
Habo,Habo
Hackås,Bergs
Haga,Enköpings
Hagby,Kalmar
Hagfors,Hagfors
Hagge,Smedjebackens
Hakkas,Gällivare
HallaHeberg,Kungsbacka
Hallabro,Ronneby
Hallen,Åre
Hallsberg,Hallsbergs
Hallstahammar,Hallstahammars
Hallstavik,Norrtälje
Halltorp,Kalmar
Halmstad,Halmstads
Halvarsgårdarna,Borlänge
Hamburgsund,Tanums
Hammar,Kristianstads
Hammar,Askersunds
Hammarby,Sandvikens
Hammarstrand,Ragunda
Hammenhög,Simrishamns
Hammerdal,Strömsunds
Hampetorp,Örebro
Hanaskog,Östra Göinge
Haparanda,Haparanda
Hara,Östersunds
Harads,Bodens
Harbo,Heby
Hargshamn,Östhammars
Harkie,Västerås
Harkskär och Utvalnäs,Gävle
Harlösa,Eslövs
Harmånger,Nordanstigs
Harplinge,Halmstads
Hartungviken och Spikarna,Sundsvalls
Hassela,Nordanstigs
Hasselfors,Laxå
Hasslarp,Helsingborgs
Hasslö,Karlskrona
Hasslöv,Laholms
Havdhem,RegionGotland
Haverdal,Halmstads
Havsbaden,Ängelholms
Heberg,Falkenbergs
Heby,Heby
Hedared,Borås
Hede,Härjedalens
Hedekas,Munkedals
Hedemora,Hedemora
Heden och Skansbacken,Vansbro
Hedenäset,Övertorneå
Hedeskoga,Ystads
Hedesunda,Gävle
Hedkärra,Fagersta
Hedlunda,Lycksele
Helgö,Ekerö
Helsingborg,Helsingborgs
Hemavan,Storumans
Hemmestorp,Sjöbo
Hemmingsmark,Piteå
Hemse,RegionGotland
Henån,Orusts
Herrljunga,Herrljunga
Herrskog,Kramfors
Herräng,Norrtälje
Herstadberg,Norrköpings
Hestra,Ydre
Hestra,Gislaveds
Hillared,Svenljunga
Hillerstorp,Gnosjö
Hilleshögby,Ekerö
Hillsta och Se,Sandvikens
Himle,Varbergs
Hindås,Härryda
Hishult,Laholms
Hissjö,Umeå
Hissmofors,Krokoms
Hittarp,Helsingborgs
Hjo,Hjo
Hjorted,Västerviks
Hjortkvarn,Hallsbergs
Hjortnäs,Leksands
Hjortsberga,Alvesta
Hjälm,Kungsbacka
Hjälmared,Alingsås
Hjälteby,Tjörns
Hjältevad,Eksjö
Hjärnarp,Ängelholms
Hjärsås,Östra Göinge
Hjärtum,LillaEdets
Hjärup,Staffanstorps
Hofors,Hofors
Hofterup,Kävlinge
Hogstad,Mjölby
Hogstorp,Uddevalla
Hok,Vaggeryds
Holm,Halmstads
Holmeja,Svedala
Holmsjö,Karlskrona
Holmsund,Umeå
Holsbybrunn,Vetlanda
Holsljunga,Svenljunga
Horda,Värnamo
Horla,Vårgårda
Horn,Kinda
Horndal,Avesta
Horred,Marks
Horsta och Laggarberg,Timrå
Hortlax,Piteå
Hoting,Strömsunds
Hova,Gullspångs
Hoverberg,Bergs
Hovid,Sundsvalls
Hovmantorp,Lessebo
Hovsta,Örebro
Huaröd,Kristianstads
Hudiksvall,Hudiksvalls
Hult,Eksjö
Hultafors,Bollebygds
Hultsfred,Hultsfreds
Hulu,Ulricehamns
Hulukvarn,Ulfstorp och Västersjön,Jönköpings
Hummelsta,Enköpings
Hunnebostrand,Sotenäs
Hunnestad,Varbergs
Hurva,Eslövs
Husby och Tuna,Strängnäs
Hustahöjden,Västerås
Husum,Örnsköldsviks
Hybo,Ljusdals
Hyllinge,Åstorps
Hyltebruk,Hylte
Hysingsvik,Norrtälje
Hyssna,Marks
Håbo-Tibblekyrkby,Upplands-Bro
Håga,Uppsala
Håksberg,Ludvika
Hållsta,Gnesta
Hållsta,Eskilstuna
Hånger,Värnamo
Häggeby och Vreta,Håbo
Häggenås,Östersunds
Häljarp,Landskrona
Hällaryd,Karlshamns
Hällberga,Eskilstuna
Hällbybrunn,Eskilstuna
Hällbäcken och Sinksundet,Luleå
Hällefors,Hällefors
Hälleforsnäs,Flens
Hällekis,Götene
Hällestad,Finspångs
Hällesåker,Mölndals
Hällevadsholm,Munkedals
Hällevik,Sölvesborgs
Hällingsjö,Härryda
Hällnäs,Vindelns
Hälsö,Öckerö
Härad,Strängnäs
Häradsbygden,Leksands
Härnösand,Härnösands
Härryda,Härryda
Härslöv,Landskrona
Hässleholm,Hässleholms
Hästhagen,Nacka
Hästholmen,Ödeshögs
Hästveda,Hässleholms
Hästängen,Norrtälje
Hätte,Seglarvik och Sandvik,Tranås
Höganäs,Höganäs
Högboda,Kils
Höggeröd,Orusts
Högsby,Högsby
Högsjö,Vingåkers
Högsäter,Färgelanda
Hökerum,Ulricehamns
Hököpinge,Vellinge
Höllviken,Vellinge
Hölö,Södertälje
Hönö,Öckerö
Hörby,Hörby
Hörnefors,Umeå
Hörvik,Sölvesborgs
Höviksnäs,Tjörns
Höör,Höörs
Idkerberget,Borlänge
Idre,Älvdalens
Igelfors,Finspångs
Igelstorp,Skövde
Iggesund,Hudiksvalls
Ilsbo,Nordanstigs
Immeln,Östra Göinge
Indal,Sundsvalls
Ingared,Alingsås
Ingatorp,Eksjö
Ingelstad,Växjö
Ingelsträde,Höganäs
Innertavle,Umeå
Insjön,Leksands
Inskogen,Oxelösunds
Irsta,Västerås
Johannesudd,Vallentuna
Johannishus,Ronneby
Johansfors,Emmaboda
Jokkmokk,Jokkmokks
Jonsered,Partille
Jonslund,Essunga
Jonstorp,Höganäs
Jordbro,Haninge
Jukkasjärvi,Kiruna
Jung,Vara
Jungfrusund,Ekerö
Junosuando,Pajala
Junsele,Sollefteå
Juoksengi,Övertorneå
Jäderfors,Sandvikens
Jälla,Uppsala
Jämjö,Karlskrona
Jämshög,Olofströms
Jämtön,Luleå
Järavallen,Kävlinge
Järbo,Sandvikens
Järlåsa,Uppsala
Järna,Södertälje
Järna,Vansbro
Järnforsen,Hultsfreds
Järpen,Åre
Järpås,Lidköpings
Järvsö,Ljusdals
Jättendal,Nordanstigs
Jävre,Piteå
Jönköping,Jönköpings
Jönåker,Nyköpings
Jörlanda,Stenungsunds
Jörn,Skellefteå
Jössefors,Arvika
Kagghamra,Botkyrka
Kalix,Kalix
Kalkudden,Strängnäs
Kallax,Luleå
Kallfors,Södertälje
Kallinge,Ronneby
Kalmar,Kalmar
Kalvsund,Öckerö
Kangos,Pajala
Karby,Vallentuna
Kareby och Ringby,Kungälvs
Karesuando,Kiruna
Karlholmsbruk,Tierps
Karlsborg,Karlsborgs
Karlshamn,Karlshamns
Karlskoga,Karlskoga
Karlskrona,Karlskrona
Karlstad,Karlstads
Karlsvik,Luleå
Kartlandet och Hagsätter,Norrköpings
Karupssommarby,Sjöbo
Kastlösa,Mörbylånga
Katrinedal,Vänersborgs
Katrineholm,Katrineholms
Kattarp,Helsingborgs
Kaxholmen,Jönköpings
Kebal,Strömstads
Kil,Nacka
Kil,Kils
Kilafors,Bollnäs
Killeberg,Osby
Kilsmo,Örebro
Kimstad,Norrköpings
Kinna,Marks
Kinnared,Hylte
Kinnarp,Falköpings
Kinnarumma,Borås
Kiruna,Kiruna
Kisa,Kinda
Kivik,Simrishamns
Kivinge,Håbo
Kjulaås,Eskilstuna
Klagstorp,Trelleborgs
Klapparvik och Källby,Söderhamns
Klevshult,Vaggeryds
Klingsta och Allsta,Sundsvalls
Klintehamn,RegionGotland
Klippan,Klippans
Klippansbruk,Klippans
Klockestrand,Kramfors
Klockrike,Motala
Klutmark,Skellefteå
Klågerup,Svedala
Klädesholmen,Tjörns
Kläppa,Kungsbacka
Klässbol,Arvika
Klövedal,Tjörns
Klöverträsk,Luleå
Klövsjö,Bergs
Knislinge,Östra Göinge
Knivsta,Knivsta
Knutby,Uppsala
Knäred,Laholms
Kode,Kungälvs
Kolbäck,Hallstahammars
Kolsva,Köpings
Konga,Tingsryds
Kopparberg,Ljusnarsbergs
Kopparmora,Värmdö
Koppom,Eda
Korpilombolo,Pajala
Korsberga,Vetlanda
Korsberga,Hjo
Korsgården,Falu
Korsträsk,Älvsbyns
Kortebo,Jönköpings
Koskullskulle,Gällivare
Kosta,Lessebo
Kovikshamn,Kungälvs
Koviksudde och Skeviksstrand,Värmdö
Kovland,Sundsvalls
Kramfors,Kramfors
Kristdala,Oskarshamns
Kristevik och Sundsandvik,Uddevalla
Kristianstad,Kristianstads
Kristinehamn,Kristinehamns
Kristvallabrunn,Nybro
Krokek,Norrköpings
Krokom,Krokoms
Krägga,Håbo
Kränge,Linköpings
Kullaberg och Tvååker,Varbergs
Kullersta,Eskilstuna
Kulltorp,Gnosjö
Kullö,Vaxholms
Kumla,Kumla
Kummelnäs,Nacka
Kungsbacka,Kungsbacka
Kungsberga,Ekerö
Kungsgården,Sandvikens
Kungshamn,Sotenäs
Kungshult,Eslövs
Kungsängen,Upplands-Bro
Kungsäter,Varbergs
Kungsör,Kungsörs
Kungälv,Kungälvs
Kurland,Trelleborgs
Kurveröd,Uddevalla
Kusmark,Skellefteå
Kuttainen,Kiruna
Kvegerö,Nyköpings
Kvibille,Halmstads
Kvicksund,Västerås
Kvidinge,Åstorps
Kvillsfors,Vetlanda
Kvissleby,Sundsvalls
Kvista,Upplands-Bro
Kvänum,Vara
Kvärlöv,Landskrona
Kyrkeby och Nereby,Kungälvs
Kyrkesund,Tjörns
Kyrkheddinge,Staffanstorps
Kyrkhult,Olofströms
Kyrksten,Storfors
Kåge,Skellefteå
Kågeröd,Svalövs
Kåhög,Partille
Kållekärr,Tjörns
Kånna,Ljungby
Kårsta,Vallentuna
Kälarne,Bräcke
Källby,Götene
Källhagen,Gävle
Källö-Knippla,Öckerö
Kärda,Värnamo
Kärna,Kungälvs
Kärsta,Västerås
Kättilsmåla,Karlskrona
Kättilstorp,Falköpings
Kävlinge,Kävlinge
Köinge,Falkenbergs
Köping,Köpings
Köpingebro,Ystads
Köpmanholmen,Örnsköldsviks
Lagan,Ljungby
Laggarsvik och Linanäs,Österåkers
